61678,Melina,60,1325753
66166,Bibby,20,792292
79384,Dennie,63,913409
83880,Flo,62,1377053
135522,Suzette,19,253152
195381,Olwen,34,1001074
199701,Jan,35,1042339
207415,Hope,45,828625
274963,Tiffie,42,442165
354277,Maridel,43,733517
428819,Dorthy,33,740896
490901,Paulita,47,999303
525258,Willetta,41,145740
529753,Laure,61,946827
559616,Dianemarie,64,1000606
581710,Evita,53,635319
582681,Maye,25,445775
630506,Aurore,30,433894
646585,Brana,25,1156242
711610,Ivett,55,396968
922078,Nariko,33,190103
989843,Shirlee,44,176524
