29744,Deane,27,726583
48328,Marcelline,48,1211117
70750,Bobbi,22,984059
86248,Ethel,65,1014561
99473,Charlena,28,751200
138682,Ida,35,962930
179687,Rochette,62,959880
247875,Lindie,56,655555
280067,Ingrid,21,534406
292090,Cassondra,48,445291
310774,Catharine,34,573528
341311,Clementine,56,1282917
393955,Codie,43,410275
502349,Gwenneth,50,100369
534271,Tierney,34,852873
632676,Mignon,59,909453
659813,Kara-Lynn,28,492536
747666,Hayley,55,529307
758461,Thalia,50,1101962
770795,Caritta,61,1229995
862554,Dorothy,50,875126
973573,Dorothy,29,554445
