5189,Sadie,40,1245115
37663,Yetty,54,755801
100100,Hildegaard,57,1213090
171142,Ethel,21,769516
205706,Gerrie,48,830072
270003,Olwen,60,1150465
274303,Tracey,51,118434
353080,Max,63,538288
359653,Karly,19,662444
390428,Quintina,24,372461
395397,Esmeralda,34,1069441
452984,Hermione,69,281097
460068,Violet,40,331804
475287,Agathe,50,1214853
569526,Lory,50,885821
609320,Dania,64,954465
754882,Mara,51,1398831
818242,Cathie,64,104466
819406,Glynnis,52,1331536
924858,Codie,26,983933
977127,Eolanda,48,76218
987146,Lauryn,19,790682
