9117,Marsiella,69,990472
27513,Zondra,64,433848
48479,Barbi,58,654654
51891,Kaia,39,930278
162567,Josephine,29,697081
164725,Jolyn,45,862190
202675,Eolanda,49,998618
253754,Rochette,38,1270067
263842,Roslyn,43,1394830
338163,Clo,54,803059
400566,Eugine,26,58107
423977,Kathy,31,143722
449355,Felice,49,969043
486853,Aubrie,30,956691
525868,Allis,70,1139627
679405,Jennica,35,676538
680641,Meg,46,214084
736165,Katharina,25,693662
778867,Loree,68,376164
783773,Belva,47,1202820
804520,Emylee,58,1075917
806470,Eadie,53,550918
