79015,Frieda,31,1363252
152441,Lory,46,316392
229287,Ermengarde,71,925177
275919,Heddie,55,795215
345840,Consuela,52,246961
359534,Briney,37,189317
380424,Joleen,35,954371
404647,Florencia,43,1218228
430805,Fanny,60,1058229
434062,Shel,70,663548
449941,Berget,24,1010331
470675,Shauna,35,273089
482038,Alameda,48,1240708
562028,Tierney,19,714715
566986,Marita,28,274399
620628,Sindee,56,617738
646712,Catharine,58,1168253
737543,Lizzie,52,785380
762558,Sean,70,650009
899503,Annecorinne,55,172101
951439,Amii,25,1256892
984795,Kathy,24,910813
