211820,Estell,70,152832
264792,Allis,39,784459
296383,Theodora,18,895397
320390,Oona,53,381901
341521,Brooks,50,461989
362341,Adriana,23,85697
387499,Margalo,41,805811
465532,Taffy,43,529322
480804,Lulita,42,328966
549804,Ulrike,52,447746
554788,Lesly,34,1240967
610439,Ida,50,692006
618805,Michaelina,52,565181
692394,Gusty,68,536728
727206,Fayre,53,900037
759705,Teriann,70,1153746
800140,Tamqrah,46,547161
821666,Sara-Ann,62,987392
879613,Marika,46,889361
893329,Vere,55,1305487
915029,Candy,57,403176
967667,Genevra,48,165554
