25954,Modestia,59,1286059
60259,Margarette,25,203480
88985,Nannie,55,255622
165675,Emilia,49,64291
255424,Maisey,67,313447
259487,Correy,41,737006
295731,Alie,45,597003
298797,Consuela,22,1329775
326408,Queenie,29,1020477
405053,Gusella,40,1243914
426128,Consuela,71,480537
452143,Meg,18,190705
482356,Shandie,64,275733
514456,Albertina,59,1125254
556241,Briney,28,1300920
577266,Donnie,33,621938
858400,Tarra,57,815844
873080,Di,69,962104
885620,Andeee,49,584442
908965,Melisent,59,85485
937670,Fina,20,956150
960851,Odessa,43,436610
