13075,Fayre,35,720375
31956,Kial,60,1112791
265405,Fina,19,1266905
339400,Sam,59,926241
378765,Doro,72,785668
380336,Reeba,48,693268
425437,Kirstin,50,167439
438311,Marleah,39,1262365
444201,Zondra,47,1229621
459422,Madeleine,64,139047
509352,Ardenia,26,1113543
524465,Asia,54,637504
534379,Celestyna,44,55956
641239,Margalo,59,1045970
715124,Edith,21,832552
754186,Katuscha,34,238843
762973,Peri,30,342712
818919,Daune,57,1108560
904913,Trixi,59,453410
922639,Marjie,21,997663
925313,Zondra,34,1012760
984194,Suzette,39,632245
