4719,Marjie,72,254418
125008,Joane,55,1156897
131617,Siana,59,1385354
290331,Teriann,67,82792
296807,Averyl,33,112742
310839,Christian,35,485547
359214,Nickie,25,645124
382328,Dacia,58,1255374
452793,Ariela,20,164772
470798,Fayre,72,831920
478013,Maye,19,436713
479658,Nariko,21,761026
598993,Dorothy,51,312552
642595,Dorthy,63,164802
757307,Xylina,70,1115978
784652,Binny,64,523962
835595,Peri,30,1305142
855446,Annice,60,199193
869375,Frances,35,50818
882527,Linzy,33,800719
903925,Rivalee,67,684620
947324,Wendi,27,220892
