30811,Wanda,40,843931
111625,Zsa Zsa,53,304198
119667,Nyssa,43,303075
121410,Carmencita,62,1388158
122419,Layla,58,438229
140644,Marylou,71,1227223
235148,Catrina,26,750438
259187,Brooks,23,504918
304263,Barbi,69,1099765
310458,Gratia,30,1050817
334332,Beth,45,267563
352426,Sheelagh,36,336556
455519,Helsa,31,1392525
530094,Chastity,27,1351926
568576,Alexine,31,639309
704423,Amelia,51,113038
715751,Danika,21,257227
725590,Celestyna,68,846201
741668,Eugine,38,404867
874692,Halette,71,809274
979258,Carly,60,934580
989387,Evita,68,931091
