36428,Marcelline,46,1219731
56073,Cherilyn,54,401676
111365,Dede,46,1127154
310515,Leia,51,1100089
329931,Bee,44,937401
348234,Dari,31,287343
377872,Shandie,68,1234806
388595,Annora,63,1204269
407432,Nanete,65,636255
569816,Dominga,51,41191
664836,Eugine,60,41752
728760,Deirdre,51,771611
734051,Hope,49,614363
747877,Celisse,57,269482
762639,Chastity,38,751554
767705,Kore,30,632506
794884,Kara-Lynn,46,640110
822192,Robbi,28,1026533
925097,Ilse,57,164453
925780,Marline,29,1310312
941158,Carol-Jean,32,931827
943743,Gilda,52,1214839
