29161,Grier,60,567354
44983,Rubie,29,362211
51162,Grier,50,944359
190957,Romona,71,578038
228051,Teriann,30,339778
277170,Berget,20,444311
291106,Shaine,55,881402
353762,Mamie,67,478013
436180,Kirbee,45,349345
436217,Joy,68,1377595
467246,Margarette,63,88698
536302,Amelia,68,1191503
549647,Merle,50,509906
601679,Sherrie,55,503537
706485,Sallie,33,796354
730618,Valera,37,917736
749665,Letizia,67,61170
778872,Jasmina,47,894550
827949,Stephanie,57,119925
831395,Eugine,51,939346
845047,Ulrike,44,887293
890569,Heida,63,1236593
